name,price,change_24h,market_cap
Bitcoin BTC,"$86,207.75",2.73%,"$1.72T$1,720,398,810,272"
Ethereum ETH,"$2,804.63",3.22%,"$338.72B$338,721,357,001"
Tether USDT,$0.9995,0.03%,"$184.44B$184,435,703,646"
XRP XRP,$2.04,6.52%,"$123.14B$123,136,659,918"
BNB BNB,$842.27,2.75%,"$116.04B$116,035,099,113"
USDC USDC,$0.9998,0.03%,"$73.99B$73,985,438,762"
Solana SOL,$129.90,2.32%,"$72.63B$72,634,345,846"
TRON TRX,$0.2748,0.01%,"$26.02B$26,018,992,071"
Dogecoin DOGE,$0.1432,3.58%,"$21.77B$21,765,241,220"
Cardano ADA,$0.4102,2.21%,"$14.73B$14,725,077,572"
Bitcoin Cash BCH,$550.80,2.79%,"$10.99B$10,992,587,861"
Hyperliquid HYPE,$31.49,5.29%,"$10.6B$10,602,900,388"
Zcash ZEC,$575.64,11.40%,"$9.4B$9,397,399,407"
UNUS SED LEO LEO,$9.47,0.43%,"$8.74B$8,738,264,869"
