symbol,price,change,volume,timestamp
AAPL,"6,602.99",-2.62%,"55,524,271 ",2025-11-23 11:59:11.503310
TSLA,"6,602.99",-1.00%,"99,125,790 ",2025-11-23 11:59:11.503310
AMZN,"6,573.00",-2.14%,"49,610,312 ",2025-11-23 11:59:11.503310
AAPL,"6,602.99",-2.62%,"55,524,271 ",2025-11-23 12:00:44.072662
TSLA,"6,602.99",-1.00%,"99,125,790 ",2025-11-23 12:00:44.072662
AMZN,"6,573.00",-2.14%,"49,610,312 ",2025-11-23 12:00:44.072662
AAPL,"6,602.99",-2.62%,"55,524,271 ",2025-11-23 12:02:39.973640
TSLA,"6,602.99",-1.00%,"99,125,790 ",2025-11-23 12:02:39.973640
AMZN,"6,573.00",-2.14%,"49,610,312 ",2025-11-23 12:02:39.973640
AAPL,"6,602.99",-2.62%,"55,524,271 ",2025-11-23 12:06:11.133582
TSLA,"6,602.99",-1.00%,"99,125,790 ",2025-11-23 12:06:11.133582
AMZN,"6,573.00",-2.14%,"49,610,312 ",2025-11-23 12:06:11.133582
AAPL,"6,602.99",-2.62%,"55,524,271 ",2025-11-23 12:06:24.689507
TSLA,"6,602.99",-1.00%,"99,125,790 ",2025-11-23 12:06:24.689507
AMZN,"6,573.00",-2.14%,"49,610,312 ",2025-11-23 12:06:24.689507
AAPL,"6,602.99",-2.62%,"55,524,271 ",2025-11-23 12:06:36.109407
TSLA,"6,602.99",-1.00%,"99,125,790 ",2025-11-23 12:06:36.109407
AMZN,"6,573.00",-2.14%,"49,610,312 ",2025-11-23 12:06:36.109407
AAPL,"6,602.99",-2.62%,"55,524,271 ",2025-11-23 12:06:51.911562
TSLA,"6,602.99",-1.00%,"99,125,790 ",2025-11-23 12:06:51.911562
AMZN,"6,573.00",-2.14%,"49,610,312 ",2025-11-23 12:06:51.911562
AAPL,"6,602.99",-2.62%,"55,524,271 ",2025-11-23 12:07:15.182302
TSLA,"6,602.99",-1.00%,"99,125,790 ",2025-11-23 12:07:15.182302
AMZN,"6,573.00",-2.14%,"49,610,312 ",2025-11-23 12:07:15.182302
